executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_gko,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1990.localdomain\n', 'top': ['top - 10:48:51 up 9 days, 19:46,  0 users,  load average: 0.44, 0.50, 0.64', 'Tasks: 2356 total,   1 running, 2355 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.7 us,  0.4 sy,  0.0 ni, 98.7 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem : 514459.2 total, 474412.0 free,  29119.7 used,  10927.6 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 482000.6 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '  21910 root       0 -20   97.0g  21.5g  15.2g S 225.0   4.3   1578:04 mmfsd', ' 760094 eq4036    20   0   58228   6960   3676 R  40.0   0.0   0:00.15 top', '2617888 dy7670    20   0  179848   6288   4120 S   5.0   0.0  14:37.20 sshd', '2632791 dy7670    20   0  180136   6400   3944 S   5.0   0.0  25:58.64 sshd', '2637893 dy7670    20   0  180136   6696   4244 S   5.0   0.0  23:27.65 sshd', '2638665 dy7670    20   0   34920   5132   4364 S   5.0   0.0   8:08.52 sftp-server', '      1 root      20   0  239460  12104   8024 S   0.0   0.0  27:37.06 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:14.00 kthreadd'], 'uptime': ' 10:48:52 up 9 days, 19:46,  0 users,  load average: 0.44, 0.50, 0.64\n', 'libOGL.so': '24288f376cb12aa7f42bbd31ec993f06  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,BJ,Small,1,2,hkn1990.localdomain,1,0.5,2022-05-05 08:48:55.053563,eb70d9ef19c4702ddf0951289e037683,0
CUDA,CG,BJ,Small,1,4,hkn1990.localdomain,1,1,2022-05-05 08:48:55.058024,d983470270d32af2e3a2dfd082d4821d,0
CUDA,CG,BJ,Small,1,16,hkn1990.localdomain,1,4,2022-05-05 08:48:55.063049,6913d1ee00df44b6f2630d2048dac129,0
CUDA,CG,BJ,Small,1,64,hkn1990.localdomain,1,16,2022-05-05 08:48:55.077498,762f78fff5aee9e625e1f1a5fa762aae,0
CUDA,CG,BJ,Small,1,32,hkn1990.localdomain,1,8,2022-05-05 08:48:55.145950,8c16797211af00d447d9ab8a635d7771,0
CUDA,CG,BJ,Small,1,8,hkn1990.localdomain,1,2,2022-05-05 08:48:55.189593,ea7375aebc5854f2c5fdca0b2b954024,0
CUDA,CG,Multigrid,Small,1,2,hkn1990.localdomain,1,0.5,2022-05-05 08:48:55.209156,73f8b6dc04e3233beefc12fa2b2ed4ef,0
CUDA,CG,Multigrid,Small,1,4,hkn1990.localdomain,1,1,2022-05-05 08:48:55.217824,c6b6d7580a24e26ed09975dbdad32079,0
CUDA,CG,Multigrid,Small,1,16,hkn1990.localdomain,1,4,2022-05-05 08:48:55.230168,b1bcf2579dc338a256a8f2c2f63d3ea4,0
CUDA,CG,Multigrid,Small,1,64,hkn1990.localdomain,1,16,2022-05-05 08:48:55.283088,a75e939f3ff4560bd33787793c618fc7,0
CUDA,CG,Multigrid,Small,1,32,hkn1990.localdomain,1,8,2022-05-05 08:48:55.339189,3f47390ed677545472c698a09f42b8bf,0
CUDA,CG,Multigrid,Small,1,8,hkn1990.localdomain,1,2,2022-05-05 08:48:55.362699,eddd84f02ec326e87b27a35d36886892,0
CUDA,CG,ISAI,Medium,1,2,hkn1990.localdomain,1,0.5,2022-05-05 08:48:56.474002,57935f8a2e76708710236b687c4eaf69,0
CUDA,CG,ISAI,Medium,1,4,hkn1990.localdomain,1,1,2022-05-05 08:48:56.481466,35610506ef06d98a01b63c4e3487ce0f,0
CUDA,CG,ISAI,Medium,1,16,hkn1990.localdomain,1,4,2022-05-05 08:48:56.496341,285b18c7f34c653f455774b02f0827ca,0
CUDA,CG,ISAI,Medium,1,64,hkn1990.localdomain,1,16,2022-05-05 08:48:56.559826,f860ede9984a2f875cd7e68bc62e8f42,0
CUDA,CG,ISAI,Medium,1,32,hkn1990.localdomain,1,8,2022-05-05 08:48:56.625847,5416de7cb3f369db766290ca2abd5dbb,0
CUDA,CG,ISAI,Medium,1,8,hkn1990.localdomain,1,2,2022-05-05 08:48:56.656418,201d63ef5ad8a72f45e3645b4fe48d44,0
CUDA,CG,BJ,Medium,1,2,hkn1990.localdomain,1,0.5,2022-05-05 08:48:56.667907,a0c263dbb8c2ee8ded7affaae0b999a6,0
CUDA,CG,BJ,Medium,1,4,hkn1990.localdomain,1,1,2022-05-05 08:48:56.675297,180f1a39fd7ad2d3809e65df7e13a024,0
CUDA,CG,BJ,Medium,1,16,hkn1990.localdomain,1,4,2022-05-05 08:48:56.683197,aa4dce975b936fe38e493c6517f9aa1d,0
CUDA,CG,BJ,Medium,1,64,hkn1990.localdomain,1,16,2022-05-05 08:48:56.704523,22029a52d4785d74873e124d1ce835da,0
CUDA,CG,BJ,Medium,1,32,hkn1990.localdomain,1,8,2022-05-05 08:48:56.771068,3a7cb637d49c00f930e49f94afee00df,0
CUDA,CG,BJ,Medium,1,8,hkn1990.localdomain,1,2,2022-05-05 08:48:56.796532,ad829eb16aed1282dc637ec813b1efca,0
CUDA,CG,Multigrid,Medium,1,2,hkn1990.localdomain,1,0.5,2022-05-05 08:48:56.807213,1a3028cea0a93286641e7609516f65c6,0
CUDA,CG,Multigrid,Medium,1,4,hkn1990.localdomain,1,1,2022-05-05 08:48:56.811399,31778a6d3cdfe7d0f2422f94ad120f99,0
CUDA,CG,Multigrid,Medium,1,16,hkn1990.localdomain,1,4,2022-05-05 08:48:56.854887,6e704fcd6c3276da5b43dcca855b88cf,0
CUDA,CG,Multigrid,Medium,1,64,hkn1990.localdomain,1,16,2022-05-05 08:48:56.876940,a979af0ac6967eb407b23de9294391f4,0
CUDA,CG,Multigrid,Medium,1,32,hkn1990.localdomain,1,8,2022-05-05 08:48:56.943551,2f97c86e41bca5e4cbb43997c4eabc25,0
CUDA,CG,Multigrid,Medium,1,8,hkn1990.localdomain,1,2,2022-05-05 08:48:56.975217,968253d4a6b70544c20c74f91b32fa79,0
