executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank_gko,mpiRank_of,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1991.localdomain\n', 'top': ['top - 07:39:47 up 25 days, 16:37,  0 users,  load average: 0.10, 0.12, 0.09', 'Tasks: 1950 total,   1 running, 1949 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 471656.5 free,  30854.1 used,  11948.7 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 480269.9 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2856629 eq4036    20   0   57808   6356   3588 R  26.1   0.0   0:00.16 top', '  22158 root       0 -20   99.2g  23.7g  17.1g S   4.3   4.7   4992:35 mmfsd', '      1 root      20   0  239448  12000   7920 S   0.0   0.0  15:12.19 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:16.50 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq'], 'uptime': ' 07:39:47 up 25 days, 16:37,  0 users,  load average: 0.10, 0.12, 0.09\n', 'libOGL.so': '1290762c95b7fa73a78509b5f32d2cdc  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
DefaultOF,CG,NoPrecond,200,1,128,hkn1991.localdomain,0,2,1,2022-05-21 05:39:51.573753,899b92f9979d789e93eae57e0a84500d,0
DefaultOF,CG,NoPrecond,200,1,64,hkn1991.localdomain,0,1,1,2022-05-21 05:39:51.623510,36709edf49be86c880d602c725848dbf,0
DefaultOF,CG,NoPrecond,200,1,32,hkn1991.localdomain,0,0.5,1,2022-05-21 05:39:51.651867,9b68bc75a206161739096d3cb20c395a,0
DefaultOF,CG,NoPrecond,200,1,256,hkn1991.localdomain,0,4,1,2022-05-21 05:39:51.676164,8a2340b1bb33f9da78d01895cda38910,0
CUDA,CG,NoPrecond,100,1,2,hkn1991.localdomain,0.5,0,1,2022-05-21 05:39:51.770073,95ae27774562824355c1f5296c947c16,0
CUDA,CG,NoPrecond,100,1,4,hkn1991.localdomain,1,0,1,2022-05-21 05:39:51.775655,174a30065c4f9021184d2c8ada7e5c39,0
CUDA,CG,NoPrecond,100,1,16,hkn1991.localdomain,4,0,1,2022-05-21 05:39:51.781946,27d4fbe97f201b704c3ce68f5cfc3709,0
CUDA,CG,NoPrecond,100,1,64,hkn1991.localdomain,16,0,1,2022-05-21 05:39:51.794830,8b48955dbe1640bb58d03f87287f3a1a,0
CUDA,CG,NoPrecond,100,1,32,hkn1991.localdomain,8,0,1,2022-05-21 05:39:51.825612,5734f82b0f2145a7933a27df150bb60b,0
CUDA,CG,NoPrecond,100,1,8,hkn1991.localdomain,2,0,1,2022-05-21 05:39:51.842860,f23c7fcecf05ecc64e889a600cd2cfa0,0
DefaultOF,CG,NoPrecond,100,1,512,hkn1991.localdomain,0,8,1,2022-05-21 05:39:51.873945,09738c30c910f7de963946346fa2d2b2,0
DefaultOF,CG,NoPrecond,100,1,1024,hkn1991.localdomain,0,16,1,2022-05-21 05:39:52.181631,84c1289f91cd3444be171d9640cd2053,0
DefaultOF,CG,NoPrecond,100,1,128,hkn1991.localdomain,0,2,1,2022-05-21 05:39:52.579787,bb4269277bd5192bbc7c7c241a0502df,0
DefaultOF,CG,NoPrecond,100,1,64,hkn1991.localdomain,0,1,1,2022-05-21 05:39:52.634216,5f7123ce1bb74ac3d00671000272e5ee,0
DefaultOF,CG,NoPrecond,100,1,32,hkn1991.localdomain,0,0.5,1,2022-05-21 05:39:52.662597,66aa7025be0002eb0b86f28056cf09ef,0
DefaultOF,CG,NoPrecond,100,1,256,hkn1991.localdomain,0,4,1,2022-05-21 05:39:52.687982,d44e76f331c1ef15ddaca52497053cdd,0
