backend,executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_gko,backend_p,mpiRank_of,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1993.localdomain\n', 'top': ['top - 12:09:41 up 66 days,  5:54,  0 users,  load average: 0.31, 0.65, 0.56', 'Tasks: 2197 total,   1 running, 2196 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.3 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 437951.2 free,  64042.4 used,  12465.6 buff/cache', 'MiB Swap:  15258.7 total,  14377.0 free,    881.8 used. 446748.0 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 156806 eq4036    20   0   56116   6640   3620 R  30.0   0.0   0:00.11 top', ' 151851 root      20   0       0      0      0 I   5.0   0.0   0:00.02 kworker/76:0-events', ' 151861 root      20   0       0      0      0 I   5.0   0.0   0:00.61 kworker/u304:1-bond0', '      1 root      20   0  244292   8596   4612 S   0.0   0.0  16:35.51 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:55.44 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri'], 'uptime': ' 12:09:41 up 66 days,  5:54,  0 users,  load average: 0.31, 0.65, 0.56\n', 'libOGL.so': 'dd4aa9cc72927bea77af730b232e02fc  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.5.0'}
0,CUDA,CG,NoPrecond,400,1,16,hkn1993.localdomain,1,4,Ginkgo,0,2022-10-09 10:09:48.032937,ce779890b8a1931e38a93ee9e1723cf9,0
0,CUDA,CG,NoPrecond,400,1,8,hkn1993.localdomain,1,2,Ginkgo,0,2022-10-09 10:09:48.051607,b24ddb1b64cb0d01424a3fd7c300baf0,0
0,Default,CG,NoPrecond,400,1,152,hkn1993.localdomain,1,0,OpenFOAM,2,2022-10-09 10:09:48.114421,7703873d8f9ff827ea8af96ec873dd3f,0
0,Default,CG,NoPrecond,400,1,304,hkn1993.localdomain,1,0,OpenFOAM,4,2022-10-09 10:09:48.161482,7f739290197c29c44a2059c7bc479308,0
0,Default,CG,NoPrecond,400,1,76,hkn1993.localdomain,1,0,OpenFOAM,1,2022-10-09 10:09:48.201856,87a9703069e3d22020fcf9c234505deb,0
0,Default,CG,NoPrecond,400,1,760,hkn1993.localdomain,1,0,OpenFOAM,10,2022-10-09 10:09:48.246214,5bd66c92fbd960f5a4b215b12eb9c639,0
0,CUDA,CG,NoPrecond,300,1,4,hkn1993.localdomain,1,0,PETSC,1,2022-10-09 10:09:48.288466,9ab63daa184b258ed81ffad6cebf25aa,0
0,CUDA,CG,NoPrecond,300,1,40,hkn1993.localdomain,1,0,PETSC,10,2022-10-09 10:09:48.324504,824a756b7e0d56a1f8061d165d463ee5,0
0,CUDA,CG,NoPrecond,300,1,16,hkn1993.localdomain,1,0,PETSC,4,2022-10-09 10:09:48.354646,66e347f1493e22578695f0ccdf0dad75,0
0,CUDA,CG,NoPrecond,300,1,8,hkn1993.localdomain,1,0,PETSC,2,2022-10-09 10:09:48.385503,790db7247346b35e2ddd2653f881b2cd,0
0,CUDA,CG,NoPrecond,300,1,4,hkn1993.localdomain,1,1,Ginkgo,0,2022-10-09 10:09:48.422444,c3dc92a01f914c563e6a77f55b203102,0
0,CUDA,CG,NoPrecond,300,1,40,hkn1993.localdomain,1,10,Ginkgo,0,2022-10-09 10:09:48.452659,736ee92eedd76a5a0c2d0d27c3d2e708,0
