executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank_of,processes,mpiRank_gko,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1992.localdomain\n', 'top': ['top - 22:31:21 up 28 days,  7:28,  0 users,  load average: 4.43, 4.25, 4.13', 'Tasks: 1926 total,   5 running, 1921 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  1.2 us,  0.8 sy,  0.0 ni, 97.9 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem : 514459.2 total, 460103.3 free,  43401.6 used,  10954.4 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 467712.6 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3349161 dc6002    20   0 3142604   2.8g  16508 R  88.9   0.6   6:39.03 cdo', '3349424 dc6002    20   0 3142600   2.8g  16720 R  77.8   0.6   2:54.20 cdo', '3350558 dc6002    20   0 3142600   2.8g  16756 R  61.1   0.6   0:06.66 cdo', '3349184 dc6002    20   0 3142600   2.8g  16560 R  55.6   0.6   6:10.63 cdo', '3350576 eq4036    20   0   57832   6448   3676 R  33.3   0.0   0:00.11 top', '  22518 root       0 -20  100.2g  24.7g  18.0g S  11.1   4.9   5562:21 mmfsd', '   2087 root       0 -20       0      0      0 I   5.6   0.0   0:00.41 kworker/59:1H-kblockd', '      1 root      20   0  239364  11992   8080 S   0.0   0.0   2:36.39 systemd'], 'uptime': ' 22:31:21 up 28 days,  7:28,  0 users,  load average: 4.43, 4.25, 4.13\n', 'libOGL.so': '1beeec2c22e97cb6d77068d8823590a4  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,NoPrecond,200,1,32,hkn1992.localdomain,0,1,8,2022-05-23 20:32:09.833191,9ba20c44818fbfc0ed65c8701ff13c31,0
CUDA,CG,NoPrecond,200,1,8,hkn1992.localdomain,0,1,2,2022-05-23 20:32:10.193679,787b54c6d6737731a4069d3520bd729a,0
DefaultOF,CG,NoPrecond,200,1,512,hkn1992.localdomain,8,1,0,2022-05-23 20:32:10.350094,01a717cf8337129eb308c5ffa53ecd41,0
DefaultOF,CG,NoPrecond,200,1,1024,hkn1992.localdomain,16,1,0,2022-05-23 20:32:15.452956,654980b1816b8408b28d5828d5975813,0
DefaultOF,CG,NoPrecond,200,1,128,hkn1992.localdomain,2,1,0,2022-05-23 20:32:25.406086,899b92f9979d789e93eae57e0a84500d,0
DefaultOF,CG,NoPrecond,200,1,64,hkn1992.localdomain,1,1,0,2022-05-23 20:32:26.685320,36709edf49be86c880d602c725848dbf,0
DefaultOF,CG,NoPrecond,200,1,32,hkn1992.localdomain,0.5,1,0,2022-05-23 20:32:27.347359,9b68bc75a206161739096d3cb20c395a,0
DefaultOF,CG,NoPrecond,200,1,256,hkn1992.localdomain,4,1,0,2022-05-23 20:32:27.710845,8a2340b1bb33f9da78d01895cda38910,0
CUDA,CG,NoPrecond,100,1,2,hkn1992.localdomain,0,1,0.5,2022-05-23 20:32:30.279520,c40c0e9b9dee90d11e7778279461742c,0
CUDA,CG,NoPrecond,100,1,2,hkn1992.localdomain,0,1,0.5,2022-05-23 20:32:30.358674,c30c21f4ebdb1368c25a4061ce00eafc,0
CUDA,CG,NoPrecond,100,1,4,hkn1992.localdomain,0,1,1,2022-05-23 20:32:30.422372,bd612cda8262b7671d542a8c75b75656,0
CUDA,CG,NoPrecond,100,1,16,hkn1992.localdomain,0,1,4,2022-05-23 20:32:30.506113,e9389fc5ec7f9fdcb720775c70532def,0
CUDA,CG,NoPrecond,100,1,64,hkn1992.localdomain,0,1,16,2022-05-23 20:32:30.711700,38b12ace9d678ef69b50935df4bd47c4,0
CUDA,CG,NoPrecond,100,1,32,hkn1992.localdomain,0,1,8,2022-05-23 20:32:31.397971,47f65b3897d9ed047a0a858a6d1f82ea,0
CUDA,CG,NoPrecond,100,1,8,hkn1992.localdomain,0,1,2,2022-05-23 20:32:31.757813,338e1b2ad6c765a92a6af7ce6c9a89ee,0
DefaultOF,CG,NoPrecond,100,1,512,hkn1992.localdomain,8,1,0,2022-05-23 20:32:31.928920,09738c30c910f7de963946346fa2d2b2,0
DefaultOF,CG,NoPrecond,100,1,1024,hkn1992.localdomain,16,1,0,2022-05-23 20:32:37.131658,84c1289f91cd3444be171d9640cd2053,0
DefaultOF,CG,NoPrecond,100,1,128,hkn1992.localdomain,2,1,0,2022-05-23 20:32:46.755492,bb4269277bd5192bbc7c7c241a0502df,0
DefaultOF,CG,NoPrecond,100,1,64,hkn1992.localdomain,1,1,0,2022-05-23 20:32:48.125491,5f7123ce1bb74ac3d00671000272e5ee,0
DefaultOF,CG,NoPrecond,100,1,32,hkn1992.localdomain,0.5,1,0,2022-05-23 20:32:48.805416,66aa7025be0002eb0b86f28056cf09ef,0
DefaultOF,CG,NoPrecond,100,1,256,hkn1992.localdomain,4,1,0,2022-05-23 20:32:49.195626,d44e76f331c1ef15ddaca52497053cdd,0
