executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank,processes,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 21:06:45 up 48 days, 11:00,  3 users,  load average: 0.01, 0.01, 0.00', 'Tasks: 953 total,   1 running, 952 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.3 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515584.2 total, 421754.3 free,   3806.0 used,  90023.8 buff/cache', 'MiB Swap: 131072.0 total, 131021.0 free,     51.0 used. 508440.2 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2040912 greole    20   0   66248   5836   4176 R   5.9   0.0   0:00.03 top', '      1 root      20   0  242276  12916   6868 S   0.0   0.0   0:24.31 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:02.41 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   0:01.77 ksoftir+', '     12 root      20   0       0      0      0 I   0.0   0.0   3:50.75 rcu_sch+'], 'uptime': ' 21:06:45 up 48 days, 11:00,  3 users,  load average: 0.01, 0.01, 0.00\n', 'libOGL.so': '4feb5a9af6888972ba40a17b378ef307  /home/greole/OpenFOAM/greole-v2106/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
HIP,BiCGStab,Multigrid,Medium,None,32,nla-gpu2.ianm.kit.edu,32,1,749310aa65393e3cf820f988e7915f6d,67.421617
HIP,BiCGStab,Multigrid,Medium,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,BiCGStab,Multigrid,Medium,None,8,nla-gpu2.ianm.kit.edu,8,1,167be956d5efb1388f6d6216d117a8fb,94.271968
HIP,CG,ILU,Medium,None,32,nla-gpu2.ianm.kit.edu,32,1,faaa9266a2c0f90283f6cbe3131c9568,211.594784
HIP,CG,ILU,Medium,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,CG,ILU,Medium,None,8,nla-gpu2.ianm.kit.edu,8,1,2e7f19e6d3ffec0692b56b763f294cd0,108.079743
HIP,CG,Multigrid,Medium,None,32,nla-gpu2.ianm.kit.edu,32,1,51a6a5cef0a46fb50bbb067f3ab670df,101.343994
HIP,CG,Multigrid,Medium,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,CG,Multigrid,Medium,None,8,nla-gpu2.ianm.kit.edu,8,1,b76177941d507160cfcb2b6328e3baba,95.714003
HIP,BiCGStab,ILU,Medium,None,32,nla-gpu2.ianm.kit.edu,32,1,634d21f25649734513ec0c7bd1b9cc0a,90.364376
HIP,BiCGStab,ILU,Medium,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,BiCGStab,ILU,Medium,None,8,nla-gpu2.ianm.kit.edu,8,1,678152eeaf423f507bd2af6856208d04,103.527504
HIP,GMRES,Multigrid,Medium,None,32,nla-gpu2.ianm.kit.edu,32,1,a5af841d7cfecefb7a53ebc8e22cc1e6,250.927781
HIP,GMRES,Multigrid,Medium,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,GMRES,Multigrid,Medium,None,8,nla-gpu2.ianm.kit.edu,8,1,1605c93fd918c478a28ed037ace1a7ab,130.1225
HIP,GMRES,BJ,Medium,None,32,nla-gpu2.ianm.kit.edu,32,1,34159e1760303d48a304d860a87b3d12,201.375425
HIP,GMRES,BJ,Medium,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,GMRES,BJ,Medium,None,8,nla-gpu2.ianm.kit.edu,8,1,03d2c9ab1644ca37adeea7f000efb400,118.532165
