executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank_of,mpiRank_gko,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1990.localdomain\n', 'top': ['top - 15:03:33 up 23 days, 0 min,  0 users,  load average: 0.07, 0.57, 0.89', 'Tasks: 2253 total,   2 running, 2251 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.3 sy,  0.0 ni, 99.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 471743.7 free,  31361.0 used,  11354.5 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 479769.3 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 475979 eq4036    20   0   58100   6680   3656 R  34.8   0.0   0:00.16 top', ' 224049 jupyter+  20   0  941852 115364  30416 S   4.3   0.0  30:14.42 node', ' 394795 rn8463    20   0  893976  58760  20532 S   4.3   0.0   0:40.80 node', ' 471167 root      20   0       0      0      0 I   4.3   0.0   0:01.18 kworker/u304:4-bond1', '      1 root      20   0  239460  12120   8024 S   0.0   0.0  55:04.55 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:26.17 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp'], 'uptime': ' 15:03:33 up 23 days, 0 min,  0 users,  load average: 0.07, 0.57, 0.89\n', 'libOGL.so': '1290762c95b7fa73a78509b5f32d2cdc  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
DefaultOF,CG,NoPrecond,300,1,304,hkn1990.localdomain,4,0,1,2022-05-18 13:03:44.892067,02a899819abec99af550d781ded15b72,0
DefaultOF,CG,NoPrecond,300,1,2432,hkn1990.localdomain,32,0,1,2022-05-18 13:03:45.266543,ddea5e77ca262af7a332ecc5fb9666ea,0
DefaultOF,CG,NoPrecond,300,1,38,hkn1990.localdomain,0.5,0,1,2022-05-18 13:03:46.189443,6dd604ce773b85978bf4e981f4f923c3,0
DefaultOF,CG,NoPrecond,300,1,1216,hkn1990.localdomain,16,0,1,2022-05-18 13:03:46.304924,c570641980fd30d761c5a9dce0e44fc4,0
DefaultOF,CG,NoPrecond,300,1,76,hkn1990.localdomain,1,0,1,2022-05-18 13:03:46.773457,47cace32ad5156aa6deafe1a48ce6d5b,0
DefaultOF,CG,NoPrecond,300,1,608,hkn1990.localdomain,8,0,1,2022-05-18 13:03:46.912876,4860e22c36fa933762cb716d090b8e65,0
CUDA,CG,NoPrecond,200,1,2,hkn1990.localdomain,0,0.5,1,2022-05-18 13:03:47.206212,e2f5073687a0de77907e17b2a6a899b2,0
CUDA,CG,NoPrecond,200,1,4,hkn1990.localdomain,0,1,1,2022-05-18 13:03:47.236759,0dc978beb9c1fd92b64bfa246c06473b,0
CUDA,CG,NoPrecond,200,1,1,hkn1990.localdomain,0,0.25,1,2022-05-18 13:03:47.249897,f97bbf6f6cf283a2a07ed5a34d3c78da,0
CUDA,CG,NoPrecond,200,1,16,hkn1990.localdomain,0,4,1,2022-05-18 13:03:47.302876,029c1b8ed41e5e7159c60fc74e2727f3,0
CUDA,CG,NoPrecond,200,1,64,hkn1990.localdomain,0,16,1,2022-05-18 13:03:47.374887,39b750ada955e58bf54dc7dee1cbc682,0
CUDA,CG,NoPrecond,200,1,32,hkn1990.localdomain,0,8,1,2022-05-18 13:03:47.469476,10da39acaa753648af76ba6cd8ea61e6,0
CUDA,CG,NoPrecond,200,1,8,hkn1990.localdomain,0,2,1,2022-05-18 13:03:47.529694,f038302df99b78ffab0de654ba31186b,0
DefaultOF,CG,NoPrecond,200,1,4864,hkn1990.localdomain,64,0,1,2022-05-18 13:03:47.853879,9886015cfabc84573008bad64aea606a,0
DefaultOF,CG,NoPrecond,200,1,152,hkn1990.localdomain,2,0,1,2022-05-18 13:03:49.641568,c21b1fc6b00a32dddf1b62e2ed614cde,0
DefaultOF,CG,NoPrecond,200,1,304,hkn1990.localdomain,4,0,1,2022-05-18 13:03:49.761614,4be8cc2e6b695d47f65099adfccbd05f,0
DefaultOF,CG,NoPrecond,200,1,2432,hkn1990.localdomain,32,0,1,2022-05-18 13:03:50.181420,5db3f6894540dd48db66c65cfc9a5140,0
DefaultOF,CG,NoPrecond,200,1,38,hkn1990.localdomain,0.5,0,1,2022-05-18 13:03:51.415104,623f163d843d800b4e29b8828da1e025,0
DefaultOF,CG,NoPrecond,200,1,1216,hkn1990.localdomain,16,0,1,2022-05-18 13:03:51.561185,588e2ae9c46637aad62c2545c9e79462,0
DefaultOF,CG,NoPrecond,200,1,76,hkn1990.localdomain,1,0,1,2022-05-18 13:03:52.096256,f8f71dd6e1b78b231a4a087752915c4d,0
DefaultOF,CG,NoPrecond,200,1,608,hkn1990.localdomain,8,0,1,2022-05-18 13:03:52.213381,95786e6fb1df60fff3de090e67357e9c,0
CUDA,CG,NoPrecond,100,1,2,hkn1990.localdomain,0,0.5,1,2022-05-18 13:03:52.602790,f3479dafbc2782889982b43d43d44533,0
CUDA,CG,NoPrecond,100,1,4,hkn1990.localdomain,0,1,1,2022-05-18 13:03:52.661079,e5b991b591170d31a10a67c9e2c8ba36,0
CUDA,CG,NoPrecond,100,1,1,hkn1990.localdomain,0,0.25,1,2022-05-18 13:03:52.672299,090a528c719d4554c2cbacde741360a6,0
CUDA,CG,NoPrecond,100,1,16,hkn1990.localdomain,0,4,1,2022-05-18 13:03:52.703862,96067e8e21dd75bd07e406c178724460,0
CUDA,CG,NoPrecond,100,1,64,hkn1990.localdomain,0,16,1,2022-05-18 13:03:52.757051,0b6b60bffd10f4a3921090f4fe525cc1,0
CUDA,CG,NoPrecond,100,1,32,hkn1990.localdomain,0,8,1,2022-05-18 13:03:52.853219,90f9610764f8e290d0d0762d4e11ab8c,0
CUDA,CG,NoPrecond,100,1,8,hkn1990.localdomain,0,2,1,2022-05-18 13:03:52.923792,99a1adec244f7c6fa65270ef18745941,0
DefaultOF,CG,NoPrecond,100,1,4864,hkn1990.localdomain,64,0,1,2022-05-18 13:03:53.182065,f470097f12041f24147e6888467d3db5,0
DefaultOF,CG,NoPrecond,100,1,152,hkn1990.localdomain,2,0,1,2022-05-18 13:03:54.935818,67db49043ea292363f44e77f5b226810,0
DefaultOF,CG,NoPrecond,100,1,304,hkn1990.localdomain,4,0,1,2022-05-18 13:03:55.057718,6cc3ca7f058b3c740df0e55cf5a46b2c,0
DefaultOF,CG,NoPrecond,100,1,2432,hkn1990.localdomain,32,0,1,2022-05-18 13:03:55.410081,ad0d992ca98c841d1218e2ccfb1b7c5e,0
DefaultOF,CG,NoPrecond,100,1,38,hkn1990.localdomain,0.5,0,1,2022-05-18 13:03:56.518828,b1c632540024ea623bf842916c3189d7,0
DefaultOF,CG,NoPrecond,100,1,1216,hkn1990.localdomain,16,0,1,2022-05-18 13:03:56.707569,7ef2c5f152565763837c16dd99a072a9,0
DefaultOF,CG,NoPrecond,100,1,76,hkn1990.localdomain,1,0,1,2022-05-18 13:03:57.179174,35bdc76b107f83725a0ab3337991e920,0
DefaultOF,CG,NoPrecond,100,1,608,hkn1990.localdomain,8,0,1,2022-05-18 13:03:57.291645,acfc07592b55be7605cb1302e882b948,0
